This is BUFR local table B version 1 for OPERA radar encoding
By Helmut Paulitsch, 2003/06/05
0;21;036;Radar rainfall intensity;mm*h-1;1;0;12
0;29;002;Co-ordinate grid type;Table;0;0;2
0;30;192;North south view organisation;Code-table;0;0;3
0;30;193;East west view organisation;Code-table;0;0;3

# part of local table B version 2 is included here, because BUFR software 2.0 
# claims to use table version 1 instead of version 2

0;29;192;Type of rotation ellipsoid;Code-Table;0;0;3
0;29;193;Long Origin;Degree;2;-18000;16
0;29;194;Lat Origin;Degree;2;-9000;15
0;29;195;False Easting;Meters;0;0;26
0;29;196;False Northing;Meters;0;0;26
0;29;197;Standard parallel 1;Degree;2;-9000;15
0;29;198;Standard parallel 2;Degree;2;-9000;15
0;29;199;Semi-major axis of rotation elipsoid;Meters;0;0;26
0;29;200;Semi-minor axis of rotation elipsoid;Meters;0;0;26
